,Candidate_ID,Cluster_ID,Donor,Contribution_Max,Contribution_Min,Contribution_Avg,Total,Count
13543,17,142.0,NEW YORK STATE LABORERS PAC -STATE FUND,1000.0,1000.0,1000.0,1000.0,1
13545,17,153.0,"TRANSPORTATION WORKERS UNION (TWU), LOCAL 100",500.0,500.0,500.0,500.0,1
13549,17,164.0,"SEIU, LOCAL 32BJ",1500.0,1400.0,1466.666666666667,4400.0,3
13550,17,165.0,LOCAL 6 COMMITTEE ON POLITICAL EDUCATION,4400.0,4400.0,4400.0,4400.0,1
13551,17,188.0,LAW PAC,5000.0,1000.0,2600.0,10400.0,4
13554,17,196.0,SEIU 1199 PAC,4400.0,2000.0,3300.0,9900.0,3
13563,17,793.0,NYSUT VOTE/COPE,3400.0,1000.0,2200.0,4400.0,2
13565,17,876.0,NY HOTEL TRADES COUNCIL,4400.0,4400.0,4400.0,4400.0,1
13807,18,117.0,MASON TENDERS DISTRICT COUNCIL PAC,3500.0,500.0,1900.0,9500.0,5
13813,18,142.0,NEW YORK STATE LABORERS PAC,4000.0,500.0,1833.333333333333,11000.0,6
13817,18,153.0,TRANSPORT WORKERS UNION LOCAL 100,1000.0,1000.0,1000.0,1000.0,1
13822,18,164.0,32BJ UNITED ADF,2000.0,1000.0,1400.0,7000.0,5
13823,18,165.0,LOCAL 6 COMMITTEE ON POLITICAL EDUCATION,6000.0,2500.0,4875.0,19500.0,4
13828,18,188.0,LAWPAC OF NEW YORK,9500.0,500.0,3754.5454545454545,41300.0,11
13832,18,196.0,1199 SEIU - NYS PAC,11000.0,3500.0,5700.0,28500.0,5
13845,18,523.0,REAL ESTATE BOARD PAC,1000.0,250.0,650.0,3250.0,5
13866,18,793.0,VOICE OF TEACHERS FOR EDUCATION,6000.0,500.0,2988.888888888889,26900.0,9
13871,18,876.0,NEW YORK HOTEL TRADES COUNCIL COPE,6000.0,1000.0,3600.0,18000.0,5
14568,19,142.0,NEW YORK STATE LABORERS PAC,1000.0,500.0,750.0,1500.0,2
14572,19,164.0,SEIU LOCAL 32BJ NY/NJ AMERICAN DREAM FUND,3000.0,2000.0,2500.0,5000.0,2
14573,19,165.0,LOCAL 6 C.O.P.E,5000.0,1500.0,3600.0,18000.0,5
14575,19,188.0,LAWPAC OF NEW YORK,10000.0,1000.0,4600.0,23000.0,5
