,Candidate_ID,Cluster_ID,Donor,Contribution_Max,Contribution_Min,Contribution_Avg,Total,Count
38486,49,117.0,MASON TENDERS D.C. GREATER NY,4400.0,1000.0,2750.0,11000.0,4
38489,49,142.0,NEW YORK STATE LABORERS,4400.0,4400.0,4400.0,4400.0,1
38496,49,164.0,32 BJ UNITED ADF,2000.0,2000.0,2000.0,2000.0,1
38497,49,165.0,LOCAL 6 COMMITTEE ON POLITICAL EDUCATION,4400.0,500.0,1880.0,9400.0,5
38500,49,188.0,LAWPAC OF NEW YORK,4400.0,1000.0,1850.0,7400.0,4
38502,49,196.0,1199 SEIU,4400.0,1000.0,2533.333333333333,7600.0,3
38518,49,793.0,NYS UNITED TEACHERS VOTE/COPE,1000.0,250.0,625.0,1250.0,2
38521,49,876.0,NEW YORK HOTEL TRADES COUNCIL,2000.0,500.0,1250.0,5000.0,4
39336,50,117.0,MASON TENDERS DISTRICT COUNCIL OF GREATER NY PAC,2500.0,2500.0,2500.0,2500.0,1
39340,50,142.0,NYS LABORERS POLITICAL ACTION COMMITTEE-STATE FUND,1000.0,1000.0,1000.0,1000.0,1
39346,50,165.0,LOCAL 6 COMMITTEE ON POLITICAL EDUCATION,1250.0,1250.0,1250.0,1250.0,1
39350,50,188.0,LAWPAC OF NEW YORK,1400.0,1000.0,1088.888888888889,9800.0,9
39352,50,196.0,1199 SEIU- NYS POLITICAL ACTION FUND,2200.0,1000.0,1800.0,5400.0,3
39359,50,523.0,RPAC OF NEW YORK STATE,1000.0,500.0,600.0,3000.0,5
39383,50,793.0,VOTE/COPE OF NYSUT,1000.0,700.0,850.0,1700.0,2
39389,50,876.0,NEW YORK HOTEL TRADES COUNCIL NON FEDERAL COPE,1250.0,1250.0,1250.0,1250.0,1
39687,51,117.0,MASON TENDERS' DISTRICT COUNCIL OF GREATER NY,2200.0,500.0,1350.0,2700.0,2
39690,51,153.0,TRANSPORT WORKERS UNION LOCAL 100,1500.0,500.0,1000.0,2000.0,2
39692,51,164.0,LOCAL 32BJ SEIU NY/ NJ ADF,2000.0,2000.0,2000.0,2000.0,1
39693,51,188.0,LAWPAC OF NEW YORK,4400.0,4400.0,4400.0,4400.0,1
39694,51,196.0,1199 SEIU- NYS POLITICAL ACTION FUND,4400.0,1000.0,2700.0,5400.0,2
40063,52,142.0,NEW YORK STATE LABORERS PAC,1000.0,500.0,750.0,1500.0,2
40067,52,153.0,TRANSPORTATION WORKERS UNION LOCAL 100,1000.0,500.0,812.5,3250.0,4
40072,52,196.0,1199 SEIU-NYS POLITICAL ACTION FUND,2200.0,2200.0,2200.0,2200.0,1
40094,52,793.0,VPICE OF TEACHERS FOR EDUCATION,2500.0,400.0,1483.333333333333,8900.0,6
41069,54,117.0,MASON TENDERS DISTRICT COUNCIL NY P.A.C.,500.0,500.0,500.0,500.0,1
41076,54,142.0,NYS LABORERS P.A.C.,1000.0,1000.0,1000.0,3000.0,3
41082,54,153.0,TRANSPORT WORKERS UNION LOCAL 100 PAC,5000.0,500.0,3300.0,9900.0,3
41089,54,165.0,LOCAL 6 COMMITTEE ON POLITICAL EDUCATION,4700.0,4700.0,4700.0,4700.0,1
41094,54,188.0,LAW P.A.C. OF NEW YORK,2400.0,1000.0,1328.5714285714287,9300.0,7
41097,54,196.0,1199 - S.E.I.U. NYS PAC,2200.0,2200.0,2200.0,2200.0,1
41126,54,523.0,R P.A.C. OF NEW YORK STATE,1000.0,250.0,541.6666666666666,3250.0,6
41160,54,793.0,NYS UNITED TEACHERS  VOTE/COPE,2500.0,300.0,1466.666666666667,13200.0,9
41168,54,876.0,NY HOTEL TRADES COUNCIL P.A.C.,4700.0,4700.0,4700.0,4700.0,1
41543,55,117.0,MASON TENDERS DISTRICT CN OF NY PAC,1000.0,1000.0,1000.0,1000.0,1
41549,55,153.0,TRANSPORT WORKERS UNION LOCAL 100 PAC,2000.0,250.0,850.0,4250.0,5
41558,55,188.0,LAWPAC OF NY,4400.0,1000.0,2700.0,13500.0,5
41560,55,196.0,1199SEIU - NYS PAC,1000.0,1000.0,1000.0,1000.0,1
41575,55,523.0,NYS ASSOCIATION OF REALTORS PAC,1000.0,500.0,583.3333333333334,3500.0,6
41602,55,793.0,VOICE OF TEACHERS EDUCATION COPE NYSUT,3700.0,500.0,1457.142857142857,10200.0,7
41811,56,196.0,1199 SEIU NYS POLITICAL ACTION,4400.0,2750.0,3575.0,7150.0,2
41819,56,793.0,NYS UNITED TEACHERS,4700.0,4700.0,4700.0,4700.0,1
41824,56,948.0,N.Y.C. CAMPAIGN FINANCE BOARD,95047.0,47.0,33366.666666666664,100100.0,3
42294,57,153.0,TWU LOCAL 100 (POLITICAL ACTION COMMITTEE),615.63,615.63,615.63,615.63,1
42298,57,188.0,LAWPAC OF NEW YORK,1000.0,1000.0,1000.0,1000.0,1
42300,57,196.0,1199 SEIU - NYS POLITICAL ACTION FUND,4400.0,1000.0,2700.0,5400.0,2
42304,57,793.0,"NYSUT, VOTE/COPE",2000.0,1500.0,1833.333333333333,5500.0,3
42638,58,117.0,MASON TENDERS DISTRICT COUNCIL,3900.0,500.0,1542.857142857143,10800.0,7
42642,58,142.0,NEW YORK STATE LABORERS PAC,1500.0,1200.0,1350.0,2700.0,2
42645,58,153.0,TRANSPORT WORKERS UNION LOCAL 100,500.0,250.0,375.0,1500.0,4
42650,58,164.0,32BJ UNITED ADF,2000.0,500.0,1233.3333333333333,7400.0,6
42651,58,165.0,LOCAL 6 COPE,2500.0,1500.0,2000.0,4000.0,2
42652,58,188.0,LAWPAC OF NEW YORK,1000.0,500.0,750.0,6000.0,8
42656,58,196.0,1199 SEIU PAF,4400.0,2000.0,3600.0,10800.0,3
42666,58,523.0,RPAC OF NYS,500.0,250.0,325.0,1300.0,4
42679,58,793.0,VOTE/COPE,4400.0,250.0,1350.0,5400.0,4
42684,58,876.0,NY HOTEL TRADES COUNCIL COPE,2500.0,1500.0,2000.0,4000.0,2
42926,59,117.0,MASON TENDERS' DISTRICT COUNCIL OF GREATER NEW YOR,2200.0,500.0,1350.0,2700.0,2
42929,59,142.0,NY STATE LABORERS POLITICAL ACTION COMMITTEE,2000.0,2000.0,2000.0,2000.0,1
42934,59,164.0,32 BJ SERVICE EMPLOYEES INTERNATIONAL UNION,500.0,500.0,500.0,1000.0,2
42935,59,165.0,LOCAL 6 COPE,4700.0,4700.0,4700.0,4700.0,1
42938,59,188.0,LAWPAC OF NEW YORK,2000.0,1000.0,1200.0,6000.0,5
42941,59,196.0,1199 SEIU,2200.0,1000.0,1600.0,3200.0,2
42950,59,523.0,RPAC OF NEW YORK STATE,500.0,500.0,500.0,500.0,1
42958,59,793.0,VOTE/ COPE,2700.0,300.0,1166.6666666666667,3500.0,3
42964,59,876.0,NY HOTEL TRADES COUNCIL,4700.0,4700.0,4700.0,4700.0,1
43224,60,117.0,MASON TENDERS DISTRICT COUNCIL,1000.0,500.0,750.0,1500.0,2
43230,60,153.0,TRANSPORT WORKERS UNION LOCAL 100,4400.0,900.0,2640.0,13200.0,5
43234,60,164.0,32BJ UNITED ADF,2500.0,2000.0,2333.333333333333,7000.0,3
43235,60,165.0,LOCAL 6 COMMITTEE ON POLITCAL EDUCATION,3400.0,2200.0,2800.0,5600.0,2
43239,60,188.0,LAWPAC OF NEW YORK,4400.0,1000.0,2133.333333333333,6400.0,3
43242,60,196.0,1199 SEIU,4400.0,4400.0,4400.0,4400.0,1
43260,60,523.0,RPAC OF NY STATE,300.0,250.0,275.0,550.0,2
43270,60,793.0,NYSUT - VOICE OF TEACHERS FOR EDUCATION,4100.0,250.0,1120.0,5600.0,5
43276,60,876.0,LOCAL 6 COMITTEE ON POLITICAL EDU,2200.0,1000.0,1600.0,3200.0,2
43479,61,153.0,TRANSPORT WORKERS UNION PAC,1000.0,1000.0,1000.0,1000.0,1
43482,61,164.0,32BJ UNITED,2000.0,1500.0,1750.0,3500.0,2
43484,61,188.0,LAW PAC OF NY,4400.0,2000.0,3200.0,6400.0,2
43487,61,196.0,1199 SEIU (GEORGE GRESHAM),4400.0,4400.0,4400.0,8800.0,2
43494,61,793.0,VOICES OF TEACHERS FOR ED. COMM.,1500.0,1500.0,1500.0,1500.0,1
43736,62,142.0,NEW YORK STATE LABORERS' INTERNATIONAL UNION OF NO,1500.0,700.0,1175.0,4700.0,4
43742,62,153.0,TRANSPORT WORKERS UNION LOCAL 100,1000.0,400.0,700.0,1400.0,2
43744,62,165.0,LOCAL 6  COMMITTEE ON POLITICAL EDUCATION,3200.0,1000.0,2100.0,8400.0,4
43748,62,188.0,LAWPAC OF NEW YORK,1000.0,1000.0,1000.0,7000.0,7
43750,62,196.0,1199 SEIU UNITED HEALTHCARE WORKERS,4400.0,4400.0,4400.0,4400.0,1
43763,62,523.0,RPAC OF NEW YORK STATE,500.0,500.0,500.0,1000.0,2
43777,62,793.0,VOTE/COPE COMMITTEE ON POLITICAL EDUCATION OF THE ,3000.0,70.0,834.2857142857142,5840.0,7
43780,62,876.0,NEW YORK HOTEL TRADES COUNCIL NON FEDERAL COPE,3200.0,1500.0,2466.6666666666665,7400.0,3
44273,63,153.0,TRANSPORT WORKERS LOCAL 100,2900.0,500.0,1960.0,9800.0,5
44277,63,164.0,32BJ UNITED FUND PAC,1000.0,1000.0,1000.0,2000.0,2
44278,63,165.0,LOCAL 6 COMMITTEEPAC,4400.0,4400.0,4400.0,4400.0,1
44280,63,188.0,LAWPAC OF NEW YORK,2400.0,1000.0,1400.0,9800.0,7
44282,63,196.0,1199 SEIU PAC,4700.0,4100.0,4400.0,13200.0,3
44312,63,793.0,VOTE COPE,2000.0,260.0,726.1111111111112,6535.0,9
44316,63,876.0,NY HOTEL TRADES COUNCIL PAC,4400.0,4400.0,4400.0,4400.0,1
44757,65,196.0,1199 SEIU,4400.0,4400.0,4400.0,4400.0,1
44877,66,164.0,32BJ UNITED ADF,2000.0,2000.0,2000.0,2000.0,1
44878,66,188.0,LAWPAC OF NEW YORK,1000.0,1000.0,1000.0,1000.0,1
44881,66,196.0,1199 SEIU PAC,4400.0,1000.0,2700.0,5400.0,2
44885,66,523.0,RPAC OF NYS,300.0,300.0,300.0,300.0,1
44890,66,793.0,VOTE PAC,2000.0,500.0,1500.0,4500.0,3
45205,67,793.0,NEW YORK STATE  UNITED TEACHERS,2000.0,300.0,1150.0,2300.0,2
45637,68,117.0,MASON TENDERS DISTRICT COUNCIL OF GREATER NY,1000.0,500.0,750.0,1500.0,2
45640,68,142.0,NYS LABORERS PAC- STATE FUND,2000.0,500.0,1250.0,2500.0,2
45651,68,165.0,NEW YORK STATE UNITED TEACHERS,600.0,600.0,600.0,600.0,1
45655,68,188.0,LAWPAC OF NEW YORK,1000.0,500.0,850.0,6800.0,8
45658,68,196.0,1199 SEIU,2200.0,1000.0,1600.0,3200.0,2
45684,68,523.0,RPAC OF NEW YORK STATE,2000.0,250.0,831.8181818181819,18300.0,22
45718,68,793.0,VOTE COPE OF THE NYS UNITED TEACHERS,425.0,150.0,298.3333333333333,895.0,3
46300,70,117.0,MASON TENDERS DISTRICT COUNCIL GREATER NY PAC,4400.0,2200.0,3666.666666666666,11000.0,3
46304,70,142.0,NEW YORK STATE LABORERS,4400.0,2200.0,3666.666666666666,11000.0,3
46312,70,164.0,32BJ UNITED ADF,4400.0,2000.0,3840.0,19200.0,5
46313,70,165.0,LOCAL 6 COMMITTEE ON POLITICAL EDUCATION,4700.0,1000.0,3366.666666666666,10100.0,3
46316,70,188.0,LAWPAC OF NEW YORK,4700.0,1000.0,3460.0,17300.0,5
46319,70,196.0,1199 SEIU NYS,2200.0,2200.0,2200.0,2200.0,1
46335,70,793.0,VOICE OF TEACHERS FOR EDUCATION,4400.0,1000.0,3266.666666666666,9800.0,3
46340,70,876.0,NEW YORK HOTEL TRADES COUNCIL,4700.0,1000.0,3625.0,14500.0,4
47780,71,117.0,MASON TENDERS DISTRICT COUNCIL,2500.0,2500.0,2500.0,2500.0,1
47782,71,142.0,NEW YORK STATE LABORERS PAC-STATE FUND,1000.0,1000.0,1000.0,1000.0,1
47787,71,165.0,LOCAL 6 COMMITTEE ON POLITCAL EDUCATION,4400.0,1900.0,2933.333333333333,8800.0,3
47789,71,188.0,LAWPAC,6300.0,1000.0,2366.6666666666665,14200.0,6
47791,71,196.0,1199 SEIU NYS PAC,4700.0,2000.0,3875.0,15500.0,4
47814,71,793.0,VOTE/COPE,4400.0,100.0,2200.0,8800.0,4
47820,71,876.0,NY HOTEL TRADES COUNCIL NON FEDERAL COPE,4400.0,1900.0,2933.333333333333,8800.0,3
48314,72,117.0,MASON TENDERS DISTRICT COUNCIL GREATER NY POLITICA,2500.0,1000.0,1750.0,3500.0,2
48324,72,164.0,32BJ UNITED ADF,2000.0,250.0,937.5,3750.0,4
48325,72,165.0,LOCAL 6 COMMITTEE ON POLITICAL EDUCATION,4700.0,1400.0,3580.0,17900.0,5
48327,72,188.0,LAWPAC,6800.0,2000.0,4475.0,17900.0,4
48331,72,196.0,1199 SEIU,4400.0,2200.0,3300.0,6600.0,2
48349,72,793.0,VOICE OF TEACHERS FOR EDUCATION COMMITTEE ON POLIT,4400.0,1000.0,2330.0,11650.0,5
48356,72,876.0,NEW YORK HOTEL TRADES COUNCIL NON FEDERAL COPE,4700.0,1400.0,3580.0,17900.0,5
48551,73,142.0,NEW YORK STATE LABORERS' PAC-STATE FUND,2500.0,1000.0,1483.333333333333,8900.0,6
48557,73,153.0,TRANSPORT WORKERS UNION LOCAL 100,500.0,250.0,416.66666666666674,1250.0,3
48561,73,165.0,LOCAL 6 COMMITTEE ON POLITICAL EDUCATION,2200.0,2200.0,2200.0,2200.0,1
48565,73,188.0,LAW PAC OF NEW YORK,2000.0,500.0,945.4545454545456,10400.0,11
48569,73,196.0,1199 SEIU - NYS UNITED HEALTHCARE WORKERS EAST,4400.0,1000.0,2960.0,14800.0,5
48586,73,523.0,RPAC OF NEW YORK STATE,500.0,500.0,500.0,1500.0,3
48607,73,793.0,VOTE-COPE,1750.0,500.0,1225.0,6125.0,5
48613,73,876.0,NEW YORK HOTEL TRADES COUNCIL,2200.0,2200.0,2200.0,2200.0,1
49228,74,117.0,MASON TENDERS DISTRICT COUNCIL OF GREATER NY PAC,1000.0,1000.0,1000.0,1000.0,1
49232,74,142.0,NY LABORERS PAC - STATE FUND,1000.0,1000.0,1000.0,1000.0,1
49233,74,153.0,TRANSPORT WORKERS UNION LOCAL 100 PAC,350.0,250.0,300.0,600.0,2
49237,74,188.0,LAWPAC OF NEW YORK,4400.0,700.0,1960.0,9800.0,5
49238,74,196.0,1199 SEIU NYS PAC,4400.0,4400.0,4400.0,4400.0,1
49246,74,523.0,REALTORS PAC OF NEW YORK STATE,500.0,300.0,400.0,800.0,2
49261,74,793.0,VOTE/COPE,700.0,700.0,700.0,700.0,1
49624,75,117.0,MASON TENDERS DISTRICT COUNCIL PAC,4400.0,2200.0,3300.0,6600.0,2
49628,75,142.0,NEW YORK STATE LABORERS,1000.0,1000.0,1000.0,2000.0,2
49633,75,153.0,TRANSPORT WORKERS UNION LOCAL 100,1000.0,500.0,812.5,6500.0,8
49637,75,188.0,LAW PAC OF NEW YORK,3400.0,1000.0,1600.0,6400.0,4
49639,75,196.0,1199 SEIU PAC,2200.0,500.0,1350.0,2700.0,2
49648,75,523.0,REAL ESTATE BOARD PAC,2100.0,250.0,875.0,8750.0,10
49656,75,793.0,VOICEOF TEACHERS FOR EDUCATION VOTE COPE,1000.0,600.0,800.0,1600.0,2
50264,76,164.0,32BJ UNITED ADF,1500.0,1500.0,1500.0,1500.0,1
50265,76,188.0,LAWPAC OF NEW YORK,2000.0,2000.0,2000.0,2000.0,1
50266,76,196.0,1199 AEIU - NYS POLITICAL ACTION FUND,4400.0,2000.0,3200.0,6400.0,2
50479,77,117.0,MASON TENDERS DISTRICT COUNCIL GREATER NY PAC,4400.0,1000.0,1875.0,7500.0,4
50484,77,153.0,TRANSPORT WORKERS UNION LOCAL 100,4400.0,500.0,3375.0,13500.0,4
50488,77,164.0,32BJ UNITED ADF,2000.0,1000.0,1500.0,3000.0,2
50489,77,165.0,LOCAL 6 COMMITTEE ON POLITICAL EDUCATION,4400.0,2200.0,2825.0,11300.0,4
50493,77,188.0,LAWPAC OF NEW YORK,4700.0,1000.0,1740.0,8700.0,5
50494,77,196.0,1199 SEIU - NYS POLITICAL ACTION FUND,4400.0,1000.0,2100.0,8400.0,4
50509,77,793.0,VOICE OF TEACHERS FOR EDUCATION,4700.0,4700.0,4700.0,4700.0,1
50511,77,876.0,NEW YORK HOTEL TRADES COUNCIL NON FEDERAL COPE,4400.0,2200.0,2825.0,11300.0,4
51105,78,117.0,MASON TENDERS DISTRICT COUNCIL,1000.0,1000.0,1000.0,2000.0,2
51110,78,142.0,NEW YORK STATE LABORERS',1000.0,1000.0,1000.0,3000.0,3
51120,78,164.0,32BJ UNITED ADF,500.0,500.0,500.0,1000.0,2
51121,78,165.0,LOCAL 6 COMMITTEE ON POLITICAL EDUCATION,2500.0,1000.0,1666.666666666667,5000.0,3
51125,78,188.0,LAWPAC OF NEW YORK,1000.0,1000.0,1000.0,1000.0,1
51129,78,196.0,1199 SEIU PAC,2200.0,2000.0,2066.6666666666665,6200.0,3
51148,78,523.0,RPAC OF NEW YORK STATE,500.0,500.0,500.0,3500.0,7
51171,78,793.0,VOICE OF TEACHERS FOR EDUCATION COMMITTEE ON POLIT,3200.0,250.0,1194.4444444444443,10750.0,9
51178,78,876.0,NY HOTEL & MOTEL TRADES COUNCIL,2500.0,1000.0,1666.666666666667,5000.0,3
52236,80,188.0,LAWPAC OF NEW YORK,500.0,500.0,500.0,500.0,1
52239,80,196.0,1199 SEIU - NYS POLITICAL ACTION FUND,4700.0,4400.0,4550.0,9100.0,2
52262,80,793.0,NYSUT VOTE/COPE COMMITTEE ON POLITICAL EDUCATION,1000.0,1000.0,1000.0,1000.0,1
52500,81,117.0,MASON TENDERS DIST. COUN GNY,4400.0,2000.0,3200.0,6400.0,2
52506,81,142.0,NEW YORK STATE LABORERS,2500.0,900.0,1320.0,6600.0,5
52511,81,153.0,TRANSPORT WORKERS UNION LOCAL #100,1000.0,500.0,750.0,1500.0,2
52516,81,164.0,SBIU LOCAL 32 BJ,1500.0,250.0,937.5,3750.0,4
52517,81,165.0,LOCAL 6 COMMITTEE ON POLITICAL EDUCATION,2200.0,2000.0,2150.0,8600.0,4
52521,81,188.0,LAWPAC OF NEW YORK,2600.0,300.0,890.9090909090909,9800.0,11
52523,81,196.0,1199 SEIU,4400.0,2200.0,3300.0,6600.0,2
52541,81,523.0,REAL ESTATE BOARD PAC,250.0,250.0,250.0,250.0,1
52548,81,793.0,NYSUT/VOTE COPE,2600.0,700.0,1750.0,10500.0,6
52553,81,876.0,NEW YORK HOTEL TRADES COUNCIL,2200.0,2000.0,2150.0,8600.0,4
53153,82,117.0,MASON TENDERS DISTRICT COUNCIL GREATER NY PAC,2500.0,2500.0,2500.0,2500.0,1
53157,82,142.0,NEW YORK STATE LABORERS STATE FUND,500.0,500.0,500.0,500.0,1
53160,82,153.0,TRANSPORT WORKERS UNION LOCAL 100 PAC,3700.0,250.0,1362.5,5450.0,4
53164,82,164.0,32BJ UNITED ADF,2500.0,500.0,1500.0,3000.0,2
53165,82,165.0,LOCAL 6 COMMITTEE ON POLITICAL EDUCATION,3700.0,1000.0,1900.0,5700.0,3
53168,82,188.0,LAWPAC OF NEW YORK,5300.0,500.0,2055.555555555556,18500.0,9
53169,82,196.0,1199 SEIU - NYS POLITICAL ACTION FUND,4400.0,2000.0,3500.0,10500.0,3
53180,82,523.0,RPAC OF NEW YORK STATE,300.0,250.0,275.0,550.0,2
53193,82,793.0,VOTE/COPE OF NYSUT,4700.0,250.0,1175.0,7050.0,6
53196,82,876.0,NEW YORK HOTEL TRADES COUNCIL NON FEDERAL COPE,3700.0,1000.0,1900.0,5700.0,3
53310,83,153.0,TRANSPORT WORKS UNION LOCAL 100,500.0,500.0,500.0,500.0,1
53313,83,164.0,32BJ,750.0,500.0,625.0,1250.0,2
53315,83,188.0,LAWPAC OF NEW YORK,4400.0,1000.0,3300.0,13200.0,4
53318,83,196.0,1199 SEIU,4400.0,1000.0,3266.666666666666,9800.0,3
53327,83,523.0,RPAC,300.0,300.0,300.0,300.0,1
53333,83,793.0,VOICE OF TEACHERS FOR EDUCATION,3200.0,400.0,1400.0,4200.0,3
53389,84,117.0,MASON TENDERS DISTRICT COUNCIL GREATER NY PAC,2400.0,2400.0,2400.0,2400.0,1
53398,84,153.0,TRANSPORT WORKERS UNION LOCAL 100,1000.0,250.0,500.0,2000.0,4
53402,84,164.0,32BJ UNITED ADF,1500.0,1000.0,1333.3333333333333,4000.0,3
53406,84,188.0,LAWPAC OF NEW YORK,3400.0,1000.0,1400.0,8400.0,6
53409,84,196.0,1199 SEIU - NYS POLITICAL ACTION FUND,4100.0,300.0,2160.0,10800.0,5
53420,84,523.0,REAL ESTATE BOARD PAC,2000.0,2000.0,2000.0,2000.0,1
53431,84,793.0,VOICE OF TEACHERS FOR EDUCATION COMMITTEE ON POLIT,500.0,250.0,375.0,750.0,2
53440,84,948.0,N.Y.C. CAMPAIGN FINANCE BOARD,716133.0,24358.0,279338.66666666674,838016.0,3
56443,85,142.0,NEW YORK STATE LABORERS PAC,1100.0,1100.0,1100.0,1100.0,1
56447,85,153.0,TRANSPORT WORKERS UNION LOCAL 100,500.0,500.0,500.0,500.0,1
56449,85,164.0,32BJ UNITED ADF,2000.0,1500.0,1750.0,3500.0,2
56450,85,165.0,LOCAL 6 COMMITTEE ON POLITICAL EDUCATION,4400.0,2350.0,3375.0,6750.0,2
56452,85,188.0,LAWPAC OF NEW YORK,1000.0,1000.0,1000.0,4000.0,4
56453,85,196.0,1199 SEIU - NYS POLITICAL ACTION FUND,4400.0,2000.0,2800.0,8400.0,3
56458,85,523.0,REAL ESTATE BOARD PAC,2000.0,250.0,1000.0,6000.0,6
56465,85,793.0,VOICE OF TEACHERS FOR EDUCATION,500.0,250.0,375.0,750.0,2
56467,85,876.0,NEW YORK HOTEL MOTEL TRADES COUNCIL,4400.0,2350.0,3375.0,6750.0,2
56781,86,117.0,MASON TENDERS DISTRICT COUNCIL OF NY PAC,4400.0,1000.0,2700.0,5400.0,2
56787,86,153.0,TRANSPORT WORKERS UNION LOCAL 100,500.0,500.0,500.0,500.0,1
56790,86,164.0,32BJ UNITED ADF,2500.0,2500.0,2500.0,2500.0,1
56791,86,165.0,LOCAL 6 COMMITTEE ON POLITICAL EDUCATION,3700.0,1000.0,2300.0,6900.0,3
56795,86,188.0,LAWPAC OF NEW YORK,8400.0,500.0,2022.2222222222226,18200.0,9
56798,86,196.0,1199 SEIU - NYS POLITICAL ACTION FUND,4400.0,2200.0,3566.666666666666,10700.0,3
56807,86,523.0,RPAC OF NEW YORK STATE,1000.0,250.0,525.0,5250.0,10
56828,86,793.0,VOTE COPE OF NYS UNITED TEACHERS,4200.0,500.0,1920.0,9600.0,5
56836,86,876.0,"NY HOTEL TRADES COUNCIL, NON FEDERAL COPE",3700.0,1000.0,2300.0,6900.0,3
57237,87,117.0,MASON TENDERS DISTRICT COUNCIL GREATER NY,4400.0,300.0,1540.0,7700.0,5
57240,87,142.0,NYS LABORERS POLITICAL ACTION COMMITTEE-STATE FUND,3000.0,1100.0,2050.0,4100.0,2
57243,87,153.0,TRANSPORT WORKERS UNION LOCAL 100 PAC,4700.0,4700.0,4700.0,4700.0,1
57250,87,165.0,LOCAL 6 COMMITTEE ON POLITICAL EDUCATION,3700.0,1000.0,2350.0,4700.0,2
57252,87,188.0,LAWPAC OF NEW YORK,2000.0,400.0,1081.5384615384612,14060.0,13
57253,87,196.0,1199 SEIU - NYS PAC,2200.0,2000.0,2100.0,4200.0,2
57265,87,523.0,RPAC OF NYS,500.0,350.0,400.0,1200.0,3
57279,87,793.0,VOICE OF TEACHERS FOR EDUCATION (COTE/COPE),3300.0,1400.0,2350.0,4700.0,2
57284,87,876.0,NY HOTEL TRADES COUNCIL COPE,3700.0,1000.0,2350.0,4700.0,2
57600,88,117.0,MASON TENDERS DISTRICT CONCIL,25000.0,300.0,9800.0,58800.0,6
57607,88,142.0,NEW YORK LABORERS PAC,4100.0,4100.0,4100.0,4100.0,1
57614,88,153.0,TRANPORT WORKERS UNION,5000.0,1000.0,3387.5,27100.0,8
57622,88,164.0,32BJ ADF,25000.0,1500.0,6950.0,55600.0,8
57623,88,165.0,LOCAL 6 COMMITTEE ON POLITICAL EDUCATION,22500.0,2200.0,7386.7,73867.0,10
57627,88,188.0,LAWPAC OF NEW YORK,10000.0,300.0,5318.181818181818,58500.0,11
57633,88,196.0,1199 SEIU NYS PAC,10000.0,4400.0,6316.666666666668,37900.0,6
57678,88,523.0,REAL ESTATE BOARD PAC,5000.0,1000.0,3942.857142857143,27600.0,7
57723,88,793.0,VOICE OF TEACHER FOR EDUCATION COMMITTEE,25000.0,250.0,5125.0,41000.0,8
57735,88,876.0,NY HOTEL TRADES COUNCIL,17500.0,2200.0,5633.333333333332,50700.0,9
58611,89,164.0,32BJ UNITED ADF,2500.0,2500.0,2500.0,2500.0,1
58823,90,117.0,MASON TENDERS DISTRICT COUNCIL GREATER NY PAC,4400.0,2000.0,2660.0,13300.0,5
58830,90,142.0,NY STATE LABORERS,1000.0,1000.0,1000.0,2000.0,2
58835,90,153.0,TWU LOCAL 100,1000.0,500.0,750.0,1500.0,2
58841,90,164.0,32BJ UNITED ADF,4400.0,1000.0,2475.0,9900.0,4
58842,90,165.0,LOCAL 6 COMMITTEE ON POLITICAL EDUCATION,2200.0,2000.0,2100.0,4200.0,2
58846,90,188.0,LAW PAC OF NEW YORK,4400.0,1000.0,2440.0,12200.0,5
58849,90,196.0,1199 SEIU - NYS POLITICAL ACTION FUND,4700.0,2100.0,3375.0,13500.0,4
58874,90,523.0,RPAC OF NEW YORK STATE,3400.0,250.0,1108.3333333333333,6650.0,6
58908,90,793.0,VOTE/COPE NYSUT - STATE FUND,4700.0,1000.0,2400.0,7200.0,3
58915,90,876.0,NY HTC NON FEDERAL COPE,2200.0,2000.0,2100.0,4200.0,2
59311,91,117.0,MASON TENDERS DISTRICT COUNCIL PAC,4400.0,200.0,1775.0,7100.0,4
59320,91,142.0,NEW YORK STATE LABORERS PAC,200.0,200.0,200.0,200.0,1
59325,91,153.0,TWU LOCAL 100,1000.0,250.0,656.25,5250.0,8
59331,91,164.0,32BJ UNITED ADF,2000.0,500.0,1312.5,10500.0,8
59332,91,165.0,LOCAL 6 COPE,4400.0,2000.0,2933.333333333333,8800.0,3
59336,91,188.0,LAWPAC,4400.0,1000.0,1520.0,15200.0,10
59340,91,196.0,1199 SEIU NYS PAF,4400.0,1000.0,2460.0,12300.0,5
59354,91,523.0,REAL ESTATE BOARD PAC,750.0,250.0,328.57142857142856,2300.0,7
59378,91,793.0,VOTE/COPE,4400.0,250.0,1588.888888888889,14300.0,9
59384,91,876.0,NY HOTEL TRADES COUNCIL COPE,2400.0,2000.0,2200.0,8800.0,4
59567,92,142.0,NEW YORK STATE LABORERS PAC,2200.0,2200.0,2200.0,2200.0,1
59570,92,153.0,TRANSPORT WORKERS UNION LOCAL 100,1000.0,500.0,666.6666666666666,2000.0,3
59573,92,165.0,LOCAL 6 COMMITTEE ON POLITICAL EDCATION,4400.0,1000.0,2700.0,5400.0,2
59576,92,188.0,LAWPAC OF NEW YORK,4400.0,4400.0,4400.0,4400.0,1
59577,92,196.0,1199 SEIU - NYS POLITICAL ACTION FUND,4700.0,4400.0,4550.0,9100.0,2
59588,92,523.0,REAL ESTATE BOARD PAC,2000.0,500.0,1250.0,2500.0,2
59592,92,793.0,VOICE OF TEACHERS FOR EDUCATION,750.0,250.0,500.0,1000.0,2
